product_name,price
Crackers Cheez It,12.1
Quail - Jumbo Boneless,11.3
Compound - Raspberry,8.6
Tea - Apple Green Tea,14.3
Dried Peach,4.3
Pur Value,1.9
Isomalt,3.3
Beer - Camerons Auburn,17.1
"Capon - Breast, Wing On",19.2
Jameson Irish Whiskey,22.5
Lettuce - Radicchio,8.1
Melon - Honey Dew,2.3
Soup - Chicken And Wild Rice,29.7
Beer - Sleemans Honey Brown,10.2
Ecolab - Ster Bac,16.5
Cookie Chocolate Chip With,1.5
"Pasta - Canelloni, Single Serve",20.3
Flour Pastry Super Fine,27.0
Muffin - Blueberry Individual,11.8
Cookie Choc,15.7
Carbonated Water - Blackberry,21.0
Barramundi,23.8
"Bread - Multigrain, Loaf",9.9
"Butter - Salted, Micro",23.8
"Wine - Bourgogne 2002, La",24.6
Calypso - Pineapple Passion,27.1
Food Colouring - Green,15.4
Longan,1.0
Beets - Pickled,10.2
Wine - Jaboulet Cotes Du Rhone,27.8
Wine - Tio Pepe Sherry Fino,8.1
Potatoes - Idaho 80 Count,28.9
Muffin - Mix - Creme Brule 15l,15.4
Chocolate Bar - Smarties,25.5
Nantucket - Carrot Orange,24.9
"Pepper - Black, Ground",1.6
"Bread - Pullman, Sliced",24.2
Persimmons,16.6
Longos - Grilled Chicken With,8.9
Kiwi Gold Zespri,27.4
"Veal - Inside, Choice",27.2
Soup - Campbells - Chicken Noodle,18.9
Durian Fruit,8.3
Water - Perrier,2.5
Cape Capensis - Fillet,29.8
Juice - Lagoon Mango,2.9
Chocolate - Feathers,14.9
"Soup - Knorr, Ministrone",4.1
Eggplant - Baby,20.7
Cookie - Oatmeal,20.7
Whmis Spray Bottle Graduated,11.0
Flour Pastry Super Fine,21.8
Soup - Campbells Asian Noodle,15.9
Skewers - Bamboo,13.9
Bread - Kimel Stick Poly,16.2
Foie Gras,18.0
English Muffin,22.8
"Veal - Leg, Provimi - 50 Lb Max",4.1
Veal - Inside,18.2
Yogurt - Assorted Pack,29.7
Cheese - Blue,21.9
Dried Peach,24.9
Nantucket Orange Juice,17.9
"Pasta - Detalini, White, Fresh",19.3
Toothpick Frilled,29.0
"Pepper - Black, Crushed",23.5
Bay Leaf Ground,8.8
Stainless Steel Cleaner Vision,12.5
Sugar - Fine,7.6
Plaintain,20.5
Cinnamon Buns Sticky,11.1
Oil - Margarine,11.1
Table Cloth 53x53 White,8.2
"Soup - Beef, Base Mix",17.4
"Shrimp - Baby, Cold Water",1.5
Kumquat,24.2
Tomato - Plum With Basil,25.1
Compound - Pear,19.7
Ham - Procutinni,17.1
Marjoram - Fresh,8.9
Bamboo Shoots - Sliced,6.5
Vinegar - Tarragon,18.4
Table Cloth 72x144 White,11.5
"Vodka - Hot, Lnferno",25.7
"Water - Mineral, Carbonated",15.8
Bouq All Italian - Primerba,8.7
"Wine - White, Ej Gallo",5.6
Venison - Striploin,25.3
Pepper Squash,20.8
Cheese - Stilton,9.9
Scallop - St. Jaques,19.1
Bay Leaf,28.0
"Sauce - Soya, Light",27.2
Chicken - Whole Fryers,20.5
"Yogurt - Banana, 175 Gr",3.0
Wine - Muscadet Sur Lie,12.4
"Sauce - Gravy, Au Jus, Mix",26.2
Durian Fruit,24.6
Gloves - Goldtouch Disposable,16.1
Lamb Tenderloin Nz Fr,26.6
Table Cloth 62x114 White,21.6
Wine - Placido Pinot Grigo,9.3
"Wine - White, Riesling, Henry Of",15.3
Wine - Cousino Macul Antiguas,25.7
"Jam - Raspberry,jar",7.8
"Orange - Canned, Mandarin",25.0
"Stock - Chicken, White",20.3
Wine - Duboeuf Beaujolais,20.2
Garbage Bags - Clear,3.7
"Vodka - Lemon, Absolut",18.3
Chips Potato Reg 43g,3.1
Beer - Original Organic Lager,6.8
Cake - Cake Sheet Macaroon,24.1
"Doilies - 10, Paper",14.5
Tomatoes Tear Drop Yellow,7.0
Island Oasis - Magarita Mix,16.4
Propel Sport Drink,5.7
Potatoes - Yukon Gold 5 Oz,6.2
Beer - Steamwhistle,1.7
Rice - Wild,28.9
Mix - Cappucino Cocktail,28.2
Cheese - Goat With Herbs,15.4
Squash - Pepper,8.9
Soup - French Can Pea,12.1
Beef Wellington,1.9
Salt - Sea,22.0
Milkettes - 2%,26.0
Shrimp - Black Tiger 26/30,15.7
Beer - Pilsner Urquell,1.3
Crackers - Water,13.2
Cardamon Seed / Pod,27.1
Lamb - Sausage Casings,5.2
Pomegranates,11.9
V8 Pet,23.9
Cinnamon - Ground,28.1
Wine - Pinot Noir Latour,5.1
Cleaner - Pine Sol,25.5
"Lamb - Leg, Diced",14.2
Flour - Semolina,3.1
Broom And Brush Rack Black,29.5
Wine - Fino Tio Pepe Gonzalez,26.5
Bowl 12 Oz - Showcase 92012,2.5
Dried Figs,6.5
Chutney Sauce,28.7
Soup Campbells,5.6
Beef Dry Aged Tenderloin Aaa,14.7
Wood Chips - Regular,16.1
Mussels - Cultivated,11.9
Aspic - Amber,26.4
"Mushroom - Enoki, Fresh",3.4
"Lobster - Baby, Boiled",1.7
Turkey - Ground. Lean,20.3
Ice Cream - Strawberry,12.3
Table Cloth 54x54 Colour,2.1
Flower - Dish Garden,15.2
Cheese - Swiss,7.2
Tobasco Sauce,1.0
Scampi Tail,3.1
Pur Value,14.8
Onion Powder,11.3
Skirt - 24 Foot,9.4
Currants,2.3
Pur Value,15.7
Pail With Metal Handle 16l White,6.9
Cheese - Valancey,28.2
Wine - Marlbourough Sauv Blanc,5.4
Tray - 12in Rnd Blk,7.3
Buffalo - Tenderloin,25.8
Bagel - 12 Grain Preslice,17.6
Arizona - Green Tea,23.6
Lotus Rootlets - Canned,18.4
Soup - Verve - Chipotle Chicken,11.9
Smirnoff Green Apple Twist,10.6
Bag - Regular Kraft 20 Lb,29.6
Appetizer - Shrimp Puff,6.3
Milk - 2% 250 Ml,7.4
Wine - Rioja Campo Viejo,6.5
"Rum - Dark, Bacardi, Black",20.2
Bread Base - Goodhearth,9.1
Pork - Inside,13.9
Wine - Niagara Peninsula Vqa,8.0
"Napkin - Dinner, White",11.2
Jack Daniels,8.5
Pate - Peppercorn,4.7
"Napkin - Beverge, White 2 - Ply",18.3
"Liqueur Banana, Ramazzotti",18.1
Apron,15.5
Gatorade - Fruit Punch,6.6
"Lemonade - Natural, 591 Ml",29.9
Cheese - La Sauvagine,14.7
Lettuce - Frisee,28.8
Carbonated Water - Raspberry,9.5
Beer - Corona,21.6
Pickles - Gherkins,2.5
Steampan Lid,3.8
Wine - Rubyport,4.2
Oil - Olive,14.1
"Star Anise, Whole",22.3
Wine - Sauvignon Blanc,16.5
Table Cloth 90x90 White,9.5
Bread - Triangle White,19.4
"Vermouth - White, Cinzano",14.2
Cheese - Oka,24.1
Puree - Mango,29.0
Dates,3.2
Wine - Fat Bastard Merlot,9.5
Myers Planters Punch,27.7
Squid - U - 10 Thailand,14.0
Quiche Assorted,20.2
Bamboo Shoots - Sliced,7.1
Lamb - Shoulder,20.7
"Lid - Translucent, 3.5 And 6 Oz",27.3
Ezy Change Mophandle,4.4
Cookie - Oatmeal,29.3
Mix Pina Colada,2.4
"Brocolinni - Gaylan, Chinese",16.1
"Veal - Shank, Pieces",17.4
"Wine - Red, Pinot Noir, Chateau",27.1
Beef - Inside Round,19.4
Beer - Camerons Auburn,6.9
Squash - Acorn,20.8
"Pork - Loin, Center Cut",7.9
English Muffin,19.1
Wine - Malbec Trapiche Reserve,11.8
Flower - Dish Garden,2.9
Spring Roll Wrappers,16.1
Veal Inside - Provimi,2.9
"Fish - Halibut, Cold Smoked",26.8
V8 - Tropical Blend,11.9
Parsley - Dried,5.5
Wine - Rhine Riesling Wolf Blass,27.6
Ginger - Pickled,14.4
Tea - Lemon Green Tea,28.8
Spinach - Baby,26.0
Sea Bass - Whole,19.1
Ham - Cooked Italian,18.2
"Vermacelli - Sprinkles, Assorted",25.8
Wine - Alicanca Vinho Verde,23.1
"Pork - Loin, Boneless",8.3
Jack Daniels,20.2
Goulash Seasoning,8.9
Chocolate Bar - Coffee Crisp,2.7
Wine - Tribal Sauvignon,13.5
Beer - Molson Excel,7.4
Veal - Slab Bacon,12.5
Creamers - 10%,10.0
Syrup - Monin - Passion Fruit,3.2
Onions Granulated,22.9
Cookies - Englishbay Oatmeal,27.8
Coffee - Hazelnut Cream,27.9
Bread - Assorted Rolls,1.1
Sprite - 355 Ml,19.2
"Soup - Cream Of Broccoli, Dry",10.5
Duck - Fat,23.2
Plastic Wrap,13.3
"Ranchero - Primerba, Paste",8.7
Compound - Passion Fruit,4.7
Tomatoes - Cherry,26.0
Yukon Jack,2.8
Nori Sea Weed,29.6
Chicken Breast Wing On,25.1
Star Fruit,8.0
Turnip - Mini,12.7
Wine - Balbach Riverside,9.2
"Chicken - Leg, Boneless",12.7
"Oil - Olive, Extra Virgin",24.5
Wiberg Cure,16.1
Cookies - Assorted,8.2
Salmon - Canned,25.1
Cheese - Montery Jack,27.2
Pails With Lids,28.9
Lamb Shoulder Boneless Nz,6.1
Beans - French,11.9
Kirsch - Schloss,3.5
Dish Towel,22.9
Orange - Tangerine,29.9
Pastry - Cherry Danish - Mini,12.0
Uniform Linen Charge,14.9
Buffalo - Striploin,7.0
Potatoes - Mini Red,27.6
Buffalo - Short Rib Fresh,13.1
"Chicken - Breast, 5 - 7 Oz",27.2
Beans - Kidney White,27.5
"Artichokes - Knobless, White",1.9
Truffle Paste,11.7
Schnappes Peppermint - Walker,23.7
Wine - Magnotta - Bel Paese White,22.6
Molasses - Fancy,13.4
Longos - Grilled Salmon With Bbq,4.1
Pickles - Gherkins,15.4
Smoked Paprika,3.5
Sugar - White Packet,12.3
Veal - Kidney,25.0
Soup Bowl Clear 8oz92008,6.4
"Mushroom - Oyster, Fresh",24.2
Turkey - Oven Roast Breast,3.4
Sauerkraut,1.4
Bread - Multigrain,27.2
Wine - Barolo Fontanafredda,5.2
Cup - Translucent 7 Oz Clear,9.6
"Nut - Chestnuts, Whole",29.8
Cheese - Montery Jack,25.3
"Pepper - Paprika, Spanish",4.1
Calypso - Strawberry Lemonade,24.9
"Beef - Outside, Round",8.5
Wine - Tribal Sauvignon,7.9
Cheese - Marble,3.2
"Gingerale - Schweppes, 355 Ml",24.5
Sole - Fillet,20.8
Pear - Halves,21.6
Paper Towel Touchless,18.7
Tuna - Yellowfin,4.0
Lamb - Sausage Casings,28.9
"Brocolinni - Gaylan, Chinese",20.8
Wine - Charddonnay Errazuriz,11.2
Tumeric,6.1
Beer - Camerons Cream Ale,10.9
Ham - Procutinni,22.6
Carbonated Water - Peach,9.2
Cookie Choc,10.0
Buffalo - Tenderloin,3.7
Beets - Mini Golden,12.4
Pate - Cognac,12.5
Wine - Charddonnay Errazuriz,16.8
Cake - Mini Cheesecake,8.4
Chicken - Whole Fryers,24.9
Wine - Jaboulet Cotes Du Rhone,18.5
"Soup - Campbells, Cream Of",14.7
Curry Paste - Madras,27.3
Cookie - Dough Variety,6.9
"Tomatoes - Vine Ripe, Red",11.7
Buttons,17.1
Lamb - Shanks,7.3
Beer - True North Lager,15.2
Chinese Foods - Chicken Wing,7.7
Vinegar - Champagne,7.8
Wine - Sicilia Igt Nero Avola,4.5
Paper Towel Touchless,17.8
Kellogs Raisan Bran Bars,27.8
Chicken Giblets,24.1
Milk - Chocolate 500ml,14.6
Chocolate Bar - Reese Pieces,5.0
V8 - Berry Blend,18.1
Instant Coffee,4.6
Kirsch - Schloss,10.4
Wine - Rhine Riesling Wolf Blass,7.8
"Beans - Fava, Canned",4.8
Glaze - Clear,15.2
Laundry - Bag Cloth,2.8
Plasticknivesblack,29.0
Lettuce - Arugula,2.7
"Bread - Pullman, Sliced",28.0
"Liners - Banana, Paper",18.7
Cabbage - Red,17.4
"Soup - Campbells, Butternut",5.6
Beer - Tetleys,12.5
Wine - Cotes Du Rhone Parallele,21.9
Clementine,11.9
Chicken - Leg / Back Attach,9.5
Soup - Campbells - Chicken Noodle,17.5
"Pork - Butt, Boneless",26.4
Pepper - Green Thai,19.5
Veal - Ground,23.7
Cardamon Seed / Pod,13.9
Cookies - Assorted,7.3
Lemons,21.2
"Tuna - Canned, Flaked, Light",5.8
Liquid Aminios Acid - Braggs,28.3
Tomato - Tricolor Cherry,11.9
Coffee Caramel Biscotti,15.9
Cake - Sheet Strawberry,20.4
Cookies - Amaretto,8.2
Soap - Hand Soap,25.9
Duck - Whole,17.7
Pork - Bones,8.6
Table Cloth 54x72 Colour,16.5
Wine - Chardonnay South,8.7
Plastic Wrap,24.7
Cumin - Ground,21.1
Sardines,17.1
Soup - French Onion,9.4
Paper - Brown Paper Mini Cups,22.0
Capicola - Hot,13.1
Tequila Rose Cream Liquor,11.2
Muffin - Mix - Bran And Maple 15l,7.0
Olives - Morracan Dired,9.1
Bread Ww Cluster,25.9
Beer - Creemore,13.6
"Soup - Knorr, French Onion",29.2
Wine - Lamancha Do Crianza,8.3
Silicone Paper 16.5x24,3.9
Lamb Leg - Bone - In Nz,12.5
"Tart Shells - Sweet, 3",23.5
Bacardi Limon,23.1
Bread Crumbs - Japanese Style,6.3
Lettuce - Iceberg,28.8
Limes,4.6
"Peas - Pigeon, Dry",11.0
"Rum - Cream, Amarula",19.9
Pike - Frozen Fillet,10.4
"Wine - White, Cooking",22.1
Corn Kernels - Frozen,10.1
"Cheese - Brie, Cups 125g",22.5
Veal - Kidney,13.1
Dry Ice,7.5
Alize Sunset,10.3
"Iced Tea - Lemon, 460 Ml",23.8
"Jam - Marmalade, Orange",15.0
Corn Shoots,6.8
Cheese - Colby,17.5
"Fish - Base, Bouillion",4.9
Wine - Cabernet Sauvignon,26.6
Cranberries - Dry,8.0
Liqueur - Melon,27.0
Flavouring - Rum,19.7
"Sauce - White, Mix",13.1
Tomato - Tricolor Cherry,10.3
Broom - Angled,2.4
Sword Pick Asst,18.7
Chives - Fresh,11.3
"Yogurt - Raspberry, 175 Gr",11.8
Lettuce - Baby Salad Greens,23.0
"Beans - Navy, Dry",16.2
Nori Sea Weed,9.3
"Split Peas - Green, Dry",15.7
"Veal - Insides, Grains",29.4
Aspic - Amber,23.7
Wine - Winzer Krems Gruner,28.9
Calypso - Black Cherry Lemonade,24.9
Hipnotiq Liquor,15.8
Remy Red,18.5
Parsnip,28.5
Syrup - Monin - Granny Smith,14.2
Yucca,14.5
Coffee - Dark Roast,2.8
Milk Powder,28.6
Watercress,20.6
Bacardi Limon,20.0
Shrimp - Black Tiger 26/30,15.8
Mushroom - King Eryingii,25.3
"Placemat - Scallop, White",29.2
"Wine - White, Mosel Gold",5.5
Bread - Focaccia Quarter,1.6
Coffee Cup 8oz 5338cd,18.2
Pastry - Apple Muffins - Mini,28.7
Wine - Port Late Bottled Vintage,23.6
"Pepper - Green, Chili",12.5
Gloves - Goldtouch Disposable,21.5
Cookies Oatmeal Raisin,16.7
Greens Mustard,6.9
Cinnamon Rolls,20.7
"Wine - White, French Cross",3.2
Oven Mitts 17 Inch,24.6
Wine - Lamancha Do Crianza,10.4
Milk - 1%,3.8
Pumpkin - Seed,2.2
"Lamb - Whole Head Off,nz",27.0
French Pastry - Mini Chocolate,12.3
Juice - Apple Cider,12.9
Cookie Dough - Chocolate Chip,6.5
Oil - Grapeseed Oil,14.4
Sambuca - Opal Nera,13.7
Red Currant Jelly,15.5
"Doilies - 5, Paper",9.3
Wine - Cabernet Sauvignon,24.4
Apple - Northern Spy,19.1
"Beans - Fava, Canned",18.4
"Sparkling Wine - Rose, Freixenet",7.1
Mince Meat - Filling,18.8
Cake - Mini Potato Pancake,25.1
Glass Clear 8 Oz,12.6
Table Cloth 54x54 Colour,26.6
"Nut - Hazelnut, Whole",20.2
Cheese - Mix,22.4
Lettuce - Green Leaf,12.1
Lettuce - Boston Bib - Organic,22.1
Sour Cream,19.5
Sugar - Brown,21.6
Table Cloth 81x81 Colour,26.8
Chips Potato Salt Vinegar 43g,23.1
Wine - Fat Bastard Merlot,5.1
Grenadillo,2.3
"Jam - Marmalade, Orange",12.6
Turkey - Oven Roast Breast,3.1
The Pop Shoppe - Black Cherry,17.8
"Capon - Breast, Double, Wing On",5.2
Oil - Grapeseed Oil,7.0
Bandage - Flexible Neon,8.3
Pepsi - 600ml,7.2
Extract Vanilla Pure,15.7
"Wine - Red, Mouton Cadet",17.2
Wine - Black Tower Qr,15.5
Chocolate Bar - Smarties,8.9
Pur Source,1.7
Wine - Casablanca Valley,11.3
Bread - Crusty Italian Poly,14.0
Bread - Wheat Baguette,1.0
"Ecolab - Orange Frc, Cleaner",15.9
Godiva White Chocolate,16.7
Coffee Swiss Choc Almond,16.9
Macaroons - Homestyle Two Bit,29.2
Cheese - Gorgonzola,7.4
Crackers - Water,24.1
Spice - Montreal Steak Spice,5.3
Sobe - Orange Carrot,14.2
"Rum - Dark, Bacardi, Black",26.6
Bread - Corn Muffaleta Onion,29.3
Steel Wool,13.8
"Asparagus - Green, Fresh",6.8
Rabbit - Frozen,15.2
"Crab - Dungeness, Whole",23.9
"Cookies - Oreo, 4 Pack",23.9
Squash - Guords,7.6
Energy Drink Bawls,12.8
Uniform Linen Charge,30.0
Squeeze Bottle,23.1
Veal - Bones,18.1
Wine - Marlbourough Sauv Blanc,23.2
Myers Planters Punch,2.8
Baking Powder,26.9
Wine - Shiraz Wolf Blass Premium,16.7
Water - Spring 1.5lit,1.7
Wine - Fat Bastard Merlot,24.1
Wine - Sicilia Igt Nero Avola,8.0
Longos - Chicken Wings,5.0
Corn - Mini,26.2
Cloves - Ground,23.3
Yucca,18.6
Sobe - Green Tea,13.9
Wine - Muscadet Sur Lie,29.2
Chocolate - Chips Compound,22.0
Maintenance Removal Charge,27.9
Bread - Sour Sticks With Onion,1.4
Wine - Cotes Du Rhone Parallele,2.8
"Lamb - Shoulder, Boneless",18.2
Water - Evian 355 Ml,5.1
Chocolate - Liqueur Cups With Foil,1.1
Chinese Foods - Pepper Beef,1.4
Longos - Grilled Chicken With,20.2
Tuna - Sushi Grade,19.4
Asparagus - Mexican,9.0
Bread - Bistro White,25.2
Wine - Piper Heidsieck Brut,3.1
Puree - Strawberry,1.0
"Wine - Red, Metus Rose",11.4
Bacardi Limon,26.6
Soup - Campbells Mushroom,13.2
Anisette - Mcguiness,24.2
"Soup - Campbells, Creamy",26.0
"Potatoes - Yukon Gold, 80 Ct",21.0
Wine - Prosecco Valdobiaddene,24.5
Lettuce - Green Leaf,1.3
"Basil - Primerba, Paste",25.5
Rabbit - Legs,11.1
Tea - Lemon Scented,27.4
Wine - Bouchard La Vignee Pinot,18.0
Couscous,20.0
"Basil - Dry, Rubbed",2.4
"Bread - Bagels, Plain",20.7
Scallops - In Shell,27.1
Bag - Regular Kraft 20 Lb,15.3
Salmon Steak - Cohoe 8 Oz,7.3
Table Cloth 53x53 White,20.4
"Artichoke - Bottom, Canned",21.5
Cheese - Cheddarsliced,16.9
Lamb - Sausage Casings,2.7
Tuna - Yellowfin,25.6
Bok Choy - Baby,19.1
Sponge Cake Mix - Chocolate,1.4
Wine - Rosso Toscano Igt,10.7
Tomatillo,7.0
Cattail Hearts,4.6
Water - Tonic,15.3
"Yeast - Fresh, Fleischman",1.5
The Pop Shoppe Pinapple,5.9
Raspberries - Frozen,6.0
Rice - 7 Grain Blend,29.1
Coffee Cup 12oz 5342cd,18.7
Cheese - Pied De Vents,22.5
Oven Mitts - 15 Inch,5.7
Slt - Individual Portions,14.0
Carbonated Water - Lemon Lime,8.4
"Butter - Salted, Micro",25.2
Lemon Tarts,7.6
Cheese - Fontina,8.9
Flour - So Mix Cake White,28.2
Pan Grease,23.8
Lid Tray - 16in Dome,16.6
"Chicken - Wings, Tip Off",18.2
Fish - Bones,22.8
Long Island Ice Tea,25.9
Blouse / Shirt / Sweater,7.9
Coffee - Frthy Coffee Crisp,14.5
Swiss Chard,14.6
Garbage Bags - Black,24.0
Wine - White Cab Sauv.on,16.4
V8 - Berry Blend,6.1
Wine - Alsace Riesling Reserve,7.7
Mustard - Pommery,20.2
Wine - Chianti Classica Docg,6.8
Bandage - Finger Cots,24.3
Tuna - Yellowfin,6.6
Muffin - Bran Ind Wrpd,28.6
"Juice - Tomato, 48 Oz",25.8
Muffin Hinge - 211n,1.8
"Bread - Roll, Soft White Round",5.9
Appetizer - Seafood Assortment,5.2
Danishes - Mini Cheese,14.4
Carrots - Jumbo,2.6
Salt - Table,12.4
Tomatoes - Roma,24.3
"Octopus - Baby, Cleaned",26.2
Sprouts - Bean,28.4
Heavy Duty Dust Pan,25.0
Apple - Granny Smith,7.4
"Oil - Shortening,liqud, Fry",9.1
"Stock - Chicken, White",10.3
Scallops - U - 10,25.7
Pork - Bones,19.6
Muffin Mix - Blueberry,20.4
Gatorade - Cool Blue Raspberry,29.8
Nantucket - Pomegranate Pear,19.7
Spice - Peppercorn Melange,26.1
Pie Shell - 5,14.1
"Arctic Char - Fresh, Whole",11.0
"Lemonade - Black Cherry, 591 Ml",23.3
